school,department,subunit,academic_unit,unit_type,professor,profile_url,unit_url,email,campus,source_url
TUM School of Management,Operations & Technology,,Management of Digital Food Businesses,Professorship,Marjolein Buisman,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Production and Supply Chain Management,Chair,Martin Grunow,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Operations Management,Chair,Gudrun Kiesmüller,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Operations Management,Chair,Rainer Kolisch,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Logistics and Supply Chain Management,Chair,Stefan Minner,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Advanced Analytics in Manufacturing Management,Professorship,Alena Otto,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Operations Research,Chair,Andreas S. Schulz,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Supply Chain Management,Professorship,David Wuttke,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Business Analytics,Professorship,Jingui Xie,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Management,Operations & Technology,,Transportation Analytics,Professorship,Ziyue Li,,,,,https://www.mgt.tum.de/faculty-research/academic-departments/operations-technology
TUM School of Medicine and Health,Clinical Medicine,Institut für KI und Informatik in der Medizin,Medical Informatics,Chair,Boeker,,,,,https://www.cm.mh.tum.de/en/cm/institutes-chairs-professorships/
